,109,110,112,109,,,,,,,,,,,,,,,100000,100
Price,"""too cheap""","""cheap""","""expensive""","""too expensive""",,"""too cheap""
cumulative","""too cheap""
(%)","""cheap""
cumulative","""cheap""
(%)","""expensive""
cumulated","""expensive""
(%)","""too expensive""
cumulated","""too expensive""
(%)",,"""not cheap""
(%)","""not expensive""
(%)",,"""price ok""",Revenue,Margin
419,0,0,0,1,,1,0.009174311926605505,1,0.00909090909090909,103,0.9196428571428571,57,0.5229357798165137,,0.990909090909091,0.0803571428571429,,0.4678899082568808,19604587.155963305,14925688.073394498
420,0,0,0,2,,1,0.009174311926605505,1,0.00909090909090909,103,0.9196428571428571,59,0.5412844036697247,,0.990909090909091,0.0803571428571429,,0.4495412844036698,18880733.94495413,14385321.100917434
449,0,0,2,2,,1,0.009174311926605505,1,0.00909090909090909,105,0.9375,61,0.5596330275229358,,0.990909090909091,0.0625,,0.4311926605504588,19360550.4587156,15048623.853211012
450,0,0,0,8,,1,0.009174311926605505,1,0.00909090909090909,105,0.9375,69,0.6330275229357798,,0.990909090909091,0.0625,,0.35779816513761475,16100917.431192664,12522935.779816516
455,0,0,0,1,,1,0.009174311926605505,1,0.00909090909090909,105,0.9375,70,0.6422018348623854,,0.990909090909091,0.0625,,0.3486238532110092,15862385.321100919,12376146.788990827
489,0,0,1,0,,1,0.009174311926605505,1,0.00909090909090909,106,0.9464285714285714,70,0.6422018348623854,,0.990909090909091,0.0535714285714286,,0.3486238532110092,17047706.42201835,13561467.889908258
499,0,0,1,9,,1,0.009174311926605505,1,0.00909090909090909,107,0.9553571428571429,79,0.7247706422018348,,0.990909090909091,0.044642857142857095,,0.2660550458715597,13276146.78899083,10615596.330275232
500,1,1,3,20,,1,0.009174311926605505,0,0,110,0.9821428571428571,99,0.908256880733945,,1,0.017857142857142905,,0.0825688073394496,4128440.36697248,3302752.293577984
550,0,0,0,3,,0,0,0,0,110,0.9821428571428571,102,0.9357798165137615,,1,0.017857142857142905,,0.06422018348623848,3532110.0917431163,2889908.256880732
590,0,0,0,1,,0,0,0,0,110,0.9821428571428571,103,0.944954128440367,,1,0.017857142857142905,,0.05504587155963303,3247706.4220183487,2697247.7064220184
599,0,0,1,1,,0,0,0,0,111,0.9910714285714286,104,0.9541284403669725,,1,0.008928571428571397,,0.04587155963302747,2747706.4220183454,2288990.8256880706
600,0,0,1,3,,0,0,0,0,112,1,107,0.981651376146789,,1,0,,0.01834862385321101,1100917.4311926607,917431.1926605505
699,0,0,0,1,,0,0,0,0,112,1,108,0.9908256880733946,,1,0,,0.00917431192660545,641284.403669721,549541.2844036664
700,0,0,0,1,,0,0,0,0,112,1,109,1,,1,0,,0,0,0
